alert_type,severity,user,ip_address,start_time,end_time,evidence
BRUTE_FORCE_SUCCESS,CRITICAL,alice,185.220.101.1,2025-02-14 03:05:00,2025-02-14 03:10:00,35 failed logins before success
BRUTE_FORCE_SUCCESS,CRITICAL,alice,192.168.1.20,2025-02-14 03:05:00,2025-02-14 03:11:35,35 failed logins before success
LARGE_BYTES_OUT,HIGH,charlie,192.168.1.20,2025-02-14 00:00:37,2025-02-14 00:00:37,bytes_out=10439392 (z=5.41) from /api/v1/token
LARGE_BYTES_OUT,HIGH,grace,172.16.0.8,2025-02-14 00:01:28,2025-02-14 00:01:28,bytes_out=13789588 (z=7.22) from /payroll
LARGE_BYTES_OUT,HIGH,charlie,192.168.1.10,2025-02-14 00:42:22,2025-02-14 00:42:22,bytes_out=9423840 (z=4.87) from /home
LARGE_BYTES_OUT,HIGH,charlie,192.168.1.20,2025-02-14 01:15:51,2025-02-14 01:15:51,bytes_out=15990388 (z=8.41) from /files/reports
LARGE_BYTES_OUT,HIGH,david,104.26.3.2,2025-02-14 01:25:30,2025-02-14 01:25:30,bytes_out=9572044 (z=4.95) from /files/db_backup
LARGE_BYTES_OUT,HIGH,charlie,185.220.101.1,2025-02-14 02:03:18,2025-02-14 02:03:18,bytes_out=7695354 (z=3.93) from /hr
FAIL_BURST_USER,HIGH,alice,,2025-02-14 03:05:00,2025-02-14 03:10:00,35 failed logins in 5min
FAIL_BURST_IP,HIGH,,185.220.101.1,2025-02-14 03:05:00,2025-02-14 03:10:00,36 failed logins from IP in 5min
LARGE_BYTES_OUT,HIGH,grace,185.220.101.1,2025-02-14 03:11:47,2025-02-14 03:11:47,bytes_out=6601204 (z=3.34) from /hr
LARGE_BYTES_OUT,HIGH,alice,185.220.101.1,2025-02-14 03:19:00,2025-02-14 03:19:00,bytes_out=12057666 (z=6.29) from /files/db_backup
LARGE_BYTES_OUT,HIGH,henry,10.0.0.5,2025-02-14 04:01:14,2025-02-14 04:01:14,bytes_out=6924794 (z=3.52) from /files/db_backup
LARGE_BYTES_OUT,HIGH,grace,198.51.100.77,2025-02-14 04:55:50,2025-02-14 04:55:50,bytes_out=6546644 (z=3.32) from /api/v1/token
LARGE_BYTES_OUT,HIGH,alice,185.220.101.1,2025-02-14 05:00:18,2025-02-14 05:00:18,bytes_out=13652421 (z=7.15) from /payroll
LARGE_BYTES_OUT,HIGH,frank,198.51.100.77,2025-02-14 05:32:54,2025-02-14 05:32:54,bytes_out=8051018 (z=4.13) from /payroll
LARGE_BYTES_OUT,HIGH,bob,10.0.0.5,2025-02-14 06:06:32,2025-02-14 06:06:32,bytes_out=11543135 (z=6.01) from /admin
LARGE_BYTES_OUT,HIGH,frank,45.33.32.156,2025-02-14 07:17:33,2025-02-14 07:17:33,bytes_out=9227845 (z=4.76) from /files/reports
LARGE_BYTES_OUT,HIGH,frank,203.0.113.5,2025-02-14 07:36:19,2025-02-14 07:36:19,bytes_out=9815844 (z=5.08) from /home
LARGE_BYTES_OUT,HIGH,charlie,203.0.113.5,2025-02-14 08:17:58,2025-02-14 08:17:58,bytes_out=12373881 (z=6.46) from /files/reports
LARGE_BYTES_OUT,HIGH,david,192.168.1.20,2025-02-14 10:02:40,2025-02-14 10:02:40,bytes_out=9010716 (z=4.64) from /files/reports
LARGE_BYTES_OUT,HIGH,eva,203.0.113.5,2025-02-14 10:39:16,2025-02-14 10:39:16,bytes_out=7423218 (z=3.79) from /files/db_backup
LARGE_BYTES_OUT,HIGH,frank,198.51.100.77,2025-02-14 11:22:50,2025-02-14 11:22:50,bytes_out=6584815 (z=3.34) from /payroll
