alert_type,severity,user,ip_address,start_time,end_time,evidence
IMPOSSIBLE_TRAVEL,CRITICAL,admin1,185.220.101.1,2025-02-14 00:50:00,2025-02-14 01:29:00,"Los Angeles, US -> Frankfurt, DE in 0.65h (~14312 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,104.26.3.2,2025-02-14 00:53:21,2025-02-14 01:49:42,"Los Angeles, US -> New York, US in 0.94h (~4190 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 01:05:05,2025-02-14 01:11:18,"Los Angeles, US -> New York, US in 0.10h (~37981 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,admin1,192.168.1.10,2025-02-14 01:29:00,2025-02-14 01:33:00,"Frankfurt, DE -> Los Angeles, US in 0.07h (~139539 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,admin1,185.220.101.1,2025-02-14 01:33:00,2025-02-14 02:05:00,"Los Angeles, US -> Frankfurt, DE in 0.53h (~17442 km/h)"
BRUTE_FORCE_THEN_SUCCESS,CRITICAL,admin1,185.220.101.1,2025-02-14 01:50:00,2025-02-14 02:00:00,"30 AUTH_FAIL in 10m, then AUTH_SUCCESS within 40m"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 01:52:44,2025-02-14 02:04:15,"New York, US -> Los Angeles, US in 0.19h (~20502 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,192.168.1.10,2025-02-14 02:02:11,2025-02-14 02:35:05,"New York, US -> Los Angeles, US in 0.55h (~7177 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 02:04:15,2025-02-14 02:16:01,"Los Angeles, US -> New York, US in 0.20h (~20066 km/h)"
PRIV_ESC_AFTER_BRUTE_FORCE,CRITICAL,admin1,185.220.101.1,2025-02-14 02:10:00,2025-02-14 02:10:00,"PRIV_ESCALATION at Frankfurt, DE within 30m of brute force"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,104.26.3.2,2025-02-14 02:35:05,2025-02-14 03:43:16,"Los Angeles, US -> New York, US in 1.14h (~3463 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,192.168.1.10,2025-02-14 02:35:29,2025-02-14 04:23:34,"New York, US -> Los Angeles, US in 1.80h (~2185 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 02:55:43,2025-02-14 06:11:20,"New York, US -> Los Angeles, US in 3.26h (~1207 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,192.168.1.10,2025-02-14 03:23:37,2025-02-14 05:33:53,"New York, US -> Los Angeles, US in 2.17h (~1813 km/h)"
BRUTE_FORCE_THEN_SUCCESS,CRITICAL,svc_account,198.51.100.77,2025-02-14 04:10:00,2025-02-14 04:20:00,"28 AUTH_FAIL in 10m, then AUTH_SUCCESS within 40m"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,104.26.3.2,2025-02-14 04:23:34,2025-02-14 05:18:00,"Los Angeles, US -> New York, US in 0.91h (~4338 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,192.168.1.10,2025-02-14 05:47:46,2025-02-14 05:54:59,"New York, US -> Los Angeles, US in 0.12h (~32718 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,104.26.3.2,2025-02-14 05:54:59,2025-02-14 06:10:41,"Los Angeles, US -> New York, US in 0.26h (~15039 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,104.26.3.2,2025-02-14 06:58:25,2025-02-14 08:05:54,"Los Angeles, US -> New York, US in 1.12h (~3499 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,192.168.1.10,2025-02-14 08:09:49,2025-02-14 08:36:22,"New York, US -> Los Angeles, US in 0.44h (~8893 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 09:01:33,2025-02-14 09:26:12,"Los Angeles, US -> New York, US in 0.41h (~9579 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,192.168.1.10,2025-02-14 09:26:12,2025-02-14 09:38:38,"New York, US -> Los Angeles, US in 0.21h (~18990 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,104.26.3.2,2025-02-14 10:00:48,2025-02-14 10:26:46,"Los Angeles, US -> New York, US in 0.43h (~9093 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,192.168.1.10,2025-02-14 10:15:30,2025-02-14 13:56:45,"New York, US -> Los Angeles, US in 3.69h (~1067 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,192.168.1.10,2025-02-14 11:50:00,2025-02-14 12:01:49,"New York, US -> Los Angeles, US in 0.20h (~19981 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,eva,192.168.1.10,2025-02-14 11:55:06,2025-02-14 12:42:25,"New York, US -> Los Angeles, US in 0.79h (~4990 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,bob,104.26.3.2,2025-02-14 12:01:49,2025-02-14 12:23:07,"Los Angeles, US -> New York, US in 0.35h (~11085 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,charlie,104.26.3.2,2025-02-14 13:46:55,2025-02-14 14:34:48,"Los Angeles, US -> New York, US in 0.80h (~4931 km/h)"
IMPOSSIBLE_TRAVEL,CRITICAL,alice,104.26.3.2,2025-02-14 13:56:45,2025-02-14 15:42:11,"Los Angeles, US -> New York, US in 1.76h (~2239 km/h)"
